pid,label,Autor,Título de publicación,dd,mm,YYYY,Lugar,N° de folios,Tipo documental,Técnica,Sección,order,layout,collection,thumbnail,full,manifest
MMC_FUN_CON_PRE_DOC001,Prensa 1,El consumidor Candelario,El Consumidor Candelario,s.i.,1,1991,Bogotá,1,Recorte de periódico,Dactilografía,Portada,00,plantilla_item,coleccion,"/img/derivatives/iiif/images/MMC_FUN_CON_PRE_DOC001/full/250,/0/default.jpg","/img/derivatives/iiif/images/MMC_FUN_CON_PRE_DOC001/full/1140,/0/default.jpg",/img/derivatives/iiif/MMC_FUN_CON_PRE_DOC001/manifest.json
MMC_FUN_CON_PRE_DOC002,Prensa 2,D´Artagnan [Roberto Posada],El Tiempo,23,1,1991,Bogotá,1,Recorte de periódico,Dactilografía,Opinión,01,plantilla_item,coleccion,"/img/derivatives/iiif/images/MMC_FUN_CON_PRE_DOC002/full/250,/0/default.jpg","/img/derivatives/iiif/images/MMC_FUN_CON_PRE_DOC002/full/1140,/0/default.jpg",/img/derivatives/iiif/MMC_FUN_CON_PRE_DOC002/manifest.json
MMC_FUN_CON_PRE_DOC003,Prensa 3,Ángel Vargas,El Tiempo,7,2,1991,Bogotá,1,Recorte de periódico,Dactilografía,Política,02,plantilla_item,coleccion,"/img/derivatives/iiif/images/MMC_FUN_CON_PRE_DOC003/full/250,/0/default.jpg","/img/derivatives/iiif/images/MMC_FUN_CON_PRE_DOC003/full/1140,/0/default.jpg",/img/derivatives/iiif/MMC_FUN_CON_PRE_DOC003/manifest.json
MMC_FUN_CON_PRE_DOC004,Prensa 4,Julio Daniel Chaparro,El Espectador,8,2,1991,Bogotá,1,Recorte de periódico,Dactilografía,Política,03,plantilla_item,coleccion,"/img/derivatives/iiif/images/MMC_FUN_CON_PRE_DOC004/full/250,/0/default.jpg","/img/derivatives/iiif/images/MMC_FUN_CON_PRE_DOC004/full/1140,/0/default.jpg",/img/derivatives/iiif/MMC_FUN_CON_PRE_DOC004/manifest.json
MMC_FUN_CON_PRE_DOC005,Prensa 5,Periódico El Espectador,El Espectador,9,2,1991,Bogotá,1,Recorte de periódico,Dactilografía,Editorial,04,plantilla_item,coleccion,"/img/derivatives/iiif/images/MMC_FUN_CON_PRE_DOC005/full/250,/0/default.jpg","/img/derivatives/iiif/images/MMC_FUN_CON_PRE_DOC005/full/1140,/0/default.jpg",/img/derivatives/iiif/MMC_FUN_CON_PRE_DOC005/manifest.json
MMC_FUN_CON_PRE_DOC006,Prensa 6,Orlando Henríquez,El Espectador,20,2,1991,Bogotá,1,Recorte de periódico,Dactilografía,Política,05,plantilla_item,coleccion,"/img/derivatives/iiif/images/MMC_FUN_CON_PRE_DOC006/full/250,/0/default.jpg","/img/derivatives/iiif/images/MMC_FUN_CON_PRE_DOC006/full/1140,/0/default.jpg",/img/derivatives/iiif/MMC_FUN_CON_PRE_DOC006/manifest.json
MMC_FUN_CON_PRE_DOC007,Prensa 7,Al Donado,El Espectador,20,2,1991,Bogotá,1,Recorte de periódico,Dactilografía,Política,06,plantilla_item,coleccion,"/img/derivatives/iiif/images/MMC_FUN_CON_PRE_DOC007/full/250,/0/default.jpg","/img/derivatives/iiif/images/MMC_FUN_CON_PRE_DOC007/full/1140,/0/default.jpg",/img/derivatives/iiif/MMC_FUN_CON_PRE_DOC007/manifest.json
MMC_FUN_CON_PRE_DOC008,Prensa 8,El Tiempo,El Tiempo,22,2,1991,Bogotá,2,Recorte de periódico,Dactilografía,s.i.,07,plantilla_item,coleccion,"","",""
MMC_FUN_CON_PRE_DOC009,Prensa 9,Cornelio Reyes,El Nuevo Siglo,27,2,1991,Bogotá,1,Recorte de periódico,Dactilografía,s.i.,08,plantilla_item,coleccion,"/img/derivatives/iiif/images/MMC_FUN_CON_PRE_DOC009/full/250,/0/default.jpg","/img/derivatives/iiif/images/MMC_FUN_CON_PRE_DOC009/full/1140,/0/default.jpg",/img/derivatives/iiif/MMC_FUN_CON_PRE_DOC009/manifest.json
MMC_FUN_CON_PRE_DOC010,Prensa 10,El Tiempo,El Tiempo,2,3,1991,Bogotá,1,Recorte de periódico,Dactilografía,Información general,09,plantilla_item,coleccion,"/img/derivatives/iiif/images/MMC_FUN_CON_PRE_DOC010/full/250,/0/default.jpg","/img/derivatives/iiif/images/MMC_FUN_CON_PRE_DOC010/full/1140,/0/default.jpg",/img/derivatives/iiif/MMC_FUN_CON_PRE_DOC010/manifest.json
